B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TBXA2R,BANK1,P4HB,CD248,HMHA1,RPL10L,SAE1,KCNK5,ZNF480,ARMC7,ARIH2,ADAMTS1,AGFG1,AGPS,IRF1,H2AFY,ATP1B1,STK4,CDC16,GOT1,SLC20A1,SORL1
KLHL20,BLK,PPIB,CD8A,CD48,CYB561,PSMD14,IP6K2,C20orf29,PFDN4,ATG12,APOBEC3G,AP1S2,EFR3A,SLC31A2,MS4A6A,BLCAP,UGCG,KIAA0528,MAP4K3,IFRD1,SLPI
CR2,C21orf7,IGLV6-57,CD8B,EEF2,KIF5C,PRMT5,GRAMD3,PLA2G1B,OTUB1,ATP2B4,ARPC5L,AZI2,BCAT1,IL15RA,MAN2B1,CD1B,CHMP5,MS4A2,CCT4,OXSR1,LMBRD1
BEND5,COL4A3,TMED2,CRTAM,TMSB10,NEK9,NUDT21,ITPKB,BFSP1,LOC126987,AUTS2,BPGM,CD1D,ABHD2,IL10RA,AKAP11,CDC37,DNAJB4,ATP6V0A2,NDUFC1,MYD88,OAZ2
DBNDD1,DAAM1,SEL1L3,CYorf15B,BTG1,MFNG,MCM6,SLC25A46,KRT18P50,BBC3,BTN3A1,CCND2,CD300C,CHI3L1,STOM,HRH1,CEBPA,MREG,ANKRD27,ATP6V1E1,LCP2,KRT23
RIC3,GTF2I,TMED10,CYP2C19,CNBP,MYL12B,ATAD2,UQCRC2,MYH1,PPP2R1A,BTN3A2,CDK6,CD93,PPARD,TAP1,NPL,CH25H,NET1,PPIP5K2,TIE1,YTHDC1,TSEN34
PTPRK,HLA-DRA,ITM2C,DCAF10,TPT1,NR1D2,CLDND1,LRRC8D,KRT5,AMN,CBLB,FAM20B,DOK3,PAPSS1,MT1M,CTSC,COMMD10,TUBB6,ANXA4,LRRC59,NSMAF,CD53
VAV3,IL7,C19orf10,LSR,COX4I1,FUT7,NUSAP1,C11orf75,CDH12,CTDNEP1,CD247,FEZ1,DPYD,TEX2,C1S,QSOX1,DHRS11,TOMM34,GMPR,BZW2,RBM39,CTBS
CD200,JAM3,HERPUD1,PRR5,HNRNPA1,RCAN3,IL3,COL6A3,RAB3A,PRKCSH,CHST12,GZMA,DUSP6,CRABP2,ADAMDEC1,MPP1,GCLC,POLDIP3,PIK3C2B,AMIGO2,RCOR3,MBOAT7
DAZL,MBD4,PDIA6,SCAP,PFDN5,EPB41,RPA3,PCNXL2,GIMAP4,TAF15,CLASP1,HMGXB4,EVI5,SCG5,MT1F,MMD,GPX3,NXT2,LAPTM4A,SLC7A5,TLE4,C19orf22
SPPL2B,MLLT10,TXNDC15,SETD1A,RPL22,D4S234E,CEP55,ZAP70,SYNGR1,PLCH2,CLIC3,LRP8,FCN1,SDHB,CXCL11,GAS6,GSTM4,INSM1,PCMT1,MYB,CHD7,GCA
ZNF318,OSBPL10,RABAC1,SF3A2,EEF1D,GDPD5,KPNA2,PPP1R16B,CACNA1D,PCSK7,CNNM3,MCMBP,IRAK3,MAPK13,IRF8,FOLR2,ISYNA1,C10orf10,CCT8,PHLDA1,GPR183,LILRB3
TRMT2B,SCRN1,PRDX4,SUPT3H,RPS4Y1,NDRG3,ANP32E,H2AFZ,RAB22A,FRMD8,CRY2,MIS12,KIAA1033,MARCO,PLSCR1,PLD3,KCNK13,CHST7,TXNL1,ARL8B,P2RY14,ITM2B
LOC100127972,SP140,IGLV5-45,TH1L,RPL13,CD6,MELK,MAF,MICAL2,LAIR2,DYNC1LI2,PIM1,KLF4,NPC1,CNDP2,TPP1,KIAA0100,ARHGAP22,NARS,JARID2,HIF1A,LITAF
CNN3,TCF4,DDOST,TMC6,SATB1,GABPA,PSMB3,MAP4K1,RUNDC3B,FOXP3,EIF2C3,TNFSF11,MAP2K1,HBEGF,MT2A,CLEC4A,MUDENG,KEAP1,PSMD2,NTRK1,EIF1B,ARPC2
FADS3,TRAF4,TRAM1,TRAV12-2,EIF3L,TRAT1,CPOX,THADA,RWDD2B,BDH2,F2R,NA,METTL9,AHCYL1,NFKBIE,LGMN,NAGPA,PALLD,CTR9,GUSB,BIRC2,KCNJ15
NEIL1,WNT3,UBE2J1,TSPAN32,RPS6,FHL1,CDK1,STK39,FAM135A,TRAV9-2,FAM117A,NA,MIS18BP1,SLC29A3,BLVRA,GAA,PLIN3,ETV3,BEX4,CCNA1,RNASE2,CXCR1
PLEKHA2,NA,IGLV3-19,VRK3,RPL3,DOCK9,MAD2L1,CXCR5,ABCA2,LRRC32,HIPK1,NA,MTMR11,BCAP31,SLAMF1,ALDH9A1,POGK,SPRED2,BTK,RASA1,UBC,MME
TJAP1,NA,HSPA5,ZNHIT2,C6orf48,NAP1L3,MRPL3,RAC2,FAM190B,ECH1,JRK,NA,NOTCH2,COL8A2,CD44,CECR1,PON2,CCL17,ESYT1,TMEM147,ARL4C,TALDO1
GCNT1,NA,TNFRSF17,NA,NACA,LRIG1,C1QBP,TRIB2,PIP4K2A,ARHGEF1,KDM5A,NA,NRGN,TMEM38B,NUPR1,AP1B1,PTPRO,FSTL1,NDUFB3,PIKFYVE,C3AR1,HLA-E
MTSS1,NA,RPN2,NA,RPS20,PBXIP1,ILF2,TRAF5,HBG2,MED15,KIAA0182,NA,PID1,ACOT13,WARS,HEXA,RAB7A,REL,OAT,MINPP1,UBB,PHC2
ABCB4,NA,SPCS1,NA,LDHB,CBLL1,IL9,CHI3L2,CAND2,PRX,KLRC3,NA,SLC7A7,ACO1,GBP1,BLVRB,RAP1GAP,HMG20B,HSD17B4,IL1A,GALC,FAM65B
LAMC1,NA,SSR4,NA,RPL15,BUB3,STIP1,PVALB,RANBP17,CD70,LCN2,NA,TCF7L2,ATP13A3,TNFAIP6,TSPAN4,RASAL2,HN1,SEC11A,FST,C1orf63,LYN
