Ensembl ID(supplied by Ensembl)	Ensembl gene ID	Approved symbol	Previous symbols	Synonyms
ENSG00000121410	ENSG00000121410	A1BG		
ENSG00000268895	ENSG00000268895	A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569
ENSG00000148584	ENSG00000148584	A1CF		ACF, ASP, ACF64, ACF65, APOBEC1CF
		A1S9T		
ENSG00000175899	ENSG00000175899	A2M		FWP007, S863-7, CPAMD5
ENSG00000245105	ENSG00000245105	A2M-AS1		
ENSG00000166535	ENSG00000166535	A2ML1	CPAMD9	FLJ25179, p170
ENSG00000256661	ENSG00000256661	A2ML1-AS1		
ENSG00000256904	ENSG00000256904	A2ML1-AS2		
ENSG00000256069	ENSG00000256069	A2MP1	A2MP	
		A2MR		
		A2MRAP		
ENSG00000184389	ENSG00000184389	A3GALT2	A3GALT2P	IGBS3S, IGB3S
ENSG00000128274	ENSG00000128274	A4GALT	P1	A14GALT, Gb3S, P(k)
ENSG00000118017	ENSG00000118017	A4GNT		alpha4GnT
		A12M1		
		A12M2		
		A12M3		
		A12M4		
		AA	AA	
ENSG00000094914	ENSG00000094914	AAAS		
		AABT		
		AAC1		
		AAC2		
ENSG00000081760	ENSG00000081760	AACS		FLJ12389, SUR-5, ACSF1
ENSG00000250420	ENSG00000250420	AACSP1	AACSL	
		AACT		
ENSG00000114771	ENSG00000114771	AADAC		DAC, CES5A1
ENSG00000197953	ENSG00000197953	AADACL2		MGC72001
ENSG00000242908	ENSG00000242908	AADACL2-AS1		
ENSG00000188984	ENSG00000188984	AADACL3		OTTHUMG00000001887
ENSG00000204518	ENSG00000204518	AADACL4		OTTHUMG00000001889
ENSG00000240602	ENSG00000240602	AADACP1		
ENSG00000109576	ENSG00000109576	AADAT		KATII, KAT2, KYAT2
ENSG00000103591	ENSG00000103591	AAGAB		FLJ11506, p34
ENSG00000115977	ENSG00000115977	AAK1		KIAA1048, DKFZp686K16132
ENSG00000087884	ENSG00000087884	AAMDC	C11orf67	PTD015, FLJ21035, CK067
ENSG00000127837	ENSG00000127837	AAMP		
ENSG00000129673	ENSG00000129673	AANAT		SNAT
ENSG00000131043	ENSG00000131043	AAR2	C20orf4	bA234K24.2
ENSG00000205002	ENSG00000205002	AARD	C8orf85	LOC441376
ENSG00000090861	ENSG00000090861	AARS1	AARS	CMT2N, AlaRS
ENSG00000249038	ENSG00000249038	AARS1P1	AARSP1	
ENSG00000124608	ENSG00000124608	AARS2	AARSL	KIAA1270, bA444E17.1
ENSG00000266967	ENSG00000266967	AARSD1		MGC2744
ENSG00000157426	ENSG00000157426	AASDH		NRPS998, LYS2, ACSF4
ENSG00000149313	ENSG00000149313	AASDHPPT		LYS5, CGI-80, AASD-PPT, ACPS
ENSG00000008311	ENSG00000008311	AASS		LORSDH, LKRSDH
ENSG00000215458	ENSG00000215458	AATBC		
ENSG00000275700	ENSG00000275700	AATF		DED, CHE-1, CHE1, BFR2
ENSG00000181409	ENSG00000181409	AATK		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77
		AAVS1		AAV
ENSG00000281376	ENSG00000281376	ABALON		INXS
ENSG00000183044	ENSG00000183044	ABAT		GABAT, GABA-T
		ABC1		
		ABC2		
		ABC3		
		ABC7		
		ABC50		
ENSG00000165029	ENSG00000165029	ABCA1	ABC1, HDLDT1	TGD
ENSG00000107331	ENSG00000107331	ABCA2	ABC2	
ENSG00000167972	ENSG00000167972	ABCA3	ABC3	ABC-C, EST111653, LBM180
ENSG00000198691	ENSG00000198691	ABCA4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3
ENSG00000154265	ENSG00000154265	ABCA5		EST90625
ENSG00000154262	ENSG00000154262	ABCA6		EST155051
ENSG00000064687	ENSG00000064687	ABCA7		ABCX
ENSG00000141338	ENSG00000141338	ABCA8		KIAA0822
ENSG00000154258	ENSG00000154258	ABCA9		EST640918
ENSG00000231749	ENSG00000231749	ABCA9-AS1		
ENSG00000154263	ENSG00000154263	ABCA10		EST698739
ENSG00000251595	ENSG00000251595	ABCA11P	ABCA11	EST1133530, FLJ14297
ENSG00000144452	ENSG00000144452	ABCA12	ICR2B	DKFZP434G232, LI2
ENSG00000179869	ENSG00000179869	ABCA13		FLJ33876, FLJ33951
ENSG00000238098	ENSG00000238098	ABCA17P		
ENSG00000085563	ENSG00000085563	ABCB1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20
		ABCB2		
		ABCB3		
ENSG00000005471	ENSG00000005471	ABCB4	PGY3, MDR3	MDR2, PFIC-3, GBD1
ENSG00000004846	ENSG00000004846	ABCB5		EST422562, ABCB5beta, ABCB5alpha
ENSG00000115657	ENSG00000115657	ABCB6		EST45597, umat, MTABC3
ENSG00000131269	ENSG00000131269	ABCB7	ABC7	EST140535, Atm1p, ASAT
ENSG00000197150	ENSG00000197150	ABCB8		EST328128, M-ABC1, MABC1
ENSG00000150967	ENSG00000150967	ABCB9		EST122234
ENSG00000135776	ENSG00000135776	ABCB10		EST20237, M-ABC2, MTABC2
ENSG00000274099	ENSG00000274099	ABCB10P1	ABCB10P, ABCB10P2	M-ABC2, MABC2
		ABCB10P2		
ENSG00000261524	ENSG00000261524	ABCB10P3		
ENSG00000260053	ENSG00000260053	ABCB10P4		
ENSG00000073734	ENSG00000073734	ABCB11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4
ENSG00000103222	ENSG00000103222	ABCC1	MRP, MRP1	GS-X
ENSG00000023839	ENSG00000023839	ABCC2	CMOAT	DJS, MRP2, cMRP
ENSG00000108846	ENSG00000108846	ABCC3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D
ENSG00000125257	ENSG00000125257	ABCC4		MRP4, EST170205, MOAT-B, MOATB
ENSG00000114770	ENSG00000114770	ABCC5		MRP5, SMRP, EST277145, MOAT-C
ENSG00000223882	ENSG00000223882	ABCC5-AS1		
ENSG00000091262	ENSG00000091262	ABCC6	ARA, PXE	MRP6, EST349056, MLP1, URG7
ENSG00000256340	ENSG00000256340	ABCC6P1		
ENSG00000255277	ENSG00000255277	ABCC6P2		
		ABCC7		
ENSG00000006071	ENSG00000006071	ABCC8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2
ENSG00000069431	ENSG00000069431	ABCC9		SUR2, CMD1O
ENSG00000124574	ENSG00000124574	ABCC10		EST182763, MRP7, SIMRP7
ENSG00000121270	ENSG00000121270	ABCC11		MRP8
ENSG00000140798	ENSG00000140798	ABCC12		MRP9
ENSG00000243064	ENSG00000243064	ABCC13		PRED6, C21orf73, ABCC13P
ENSG00000101986	ENSG00000101986	ABCD1	ALD	AMN, ALDP, adrenoleukodystrophy
		ABCD1P1		
ENSG00000215151	ENSG00000215151	ABCD1P2		bA453N3.6
ENSG00000261233	ENSG00000261233	ABCD1P3		
ENSG00000225293	ENSG00000225293	ABCD1P4		
ENSG00000214330	ENSG00000214330	ABCD1P5		
ENSG00000173208	ENSG00000173208	ABCD2	ALDL1	ALDR, ALDRP
ENSG00000117528	ENSG00000117528	ABCD3	PXMP1	PMP70, ZWS2
ENSG00000119688	ENSG00000119688	ABCD4	PXMP1L	PMP69, P70R, EST352188
ENSG00000164163	ENSG00000164163	ABCE1	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1
ENSG00000204574	ENSG00000204574	ABCF1	ABC50	EST123147
		ABCF1-DT		
	ENSG00000033050	ABCF2		EST133090, ABC28, M-ABC1, HUSSY-18
ENSG00000242159	ENSG00000242159	ABCF2P1		
ENSG00000228769	ENSG00000228769	ABCF2P2		
ENSG00000161204	ENSG00000161204	ABCF3		EST201864
ENSG00000160179	ENSG00000160179	ABCG1		ABC8
ENSG00000118777	ENSG00000118777	ABCG2		EST157481, MXR, BCRP, ABCP, CD338
ENSG00000172350	ENSG00000172350	ABCG4		WHITE2
ENSG00000138075	ENSG00000138075	ABCG5		STSL
ENSG00000143921	ENSG00000143921	ABCG8		GBD4
		ABCR		
ENSG00000143994	ENSG00000143994	ABHD1		LABH1, FLJ36128
ENSG00000140526	ENSG00000140526	ABHD2		LABH2
ENSG00000158201	ENSG00000158201	ABHD3		LABH3
ENSG00000100439	ENSG00000100439	ABHD4		FLJ12816
ENSG00000011198	ENSG00000011198	ABHD5		CGI-58, NCIE2
ENSG00000163686	ENSG00000163686	ABHD6		
