gene	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast
ENSG00000000003	17.77781	33.05251	14.4167	25.838426	33.387485	42.0061	13.797	19.01296	24.7028	13.58269	30.9608	36.3003	22.9893916378	47.080685	20.418649	46.75894	27.61852	25.946375	24.944428	21.1639	41.154912	34.33327	40.693377	37.3373	46.743167
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0	3.81281	0	0	4.5727	0	0	2.81899	0	0	4.94981	1.25135	0	4.03994
ENSG00000000419	43.51457	47.4299	39.21351	13.58873	44.6667	47.54147	30.0712	51.83379	57.085956	39.0667	26.994417	56.88522	38.5176	37.726041458	40.29029	53.7877	48.39469	15.96489	68.20078	58.3183	92.54508991	68.2905	57.64649	36.4509	43.95725
ENSG00000000457	6.690814	4.549022	6.914023	10.871814	16.358840818229	12.00229	0.975654	7.65323	9.413147	2.27001	8.52764	12.70538444577	16.035350105397	19.811655	4.725536	2.40816	2.327929	5.243028	3.360304	2.101941	11.60372	8.156635	5.25705	0.876408	12.31145
ENSG00000000460	3.4814243	8.5438	4.68401	1.812634	0	2.987507	0.92914	6.06763	1.779913	1.991524	4.584806	1.383947	11.038338	7.214552399999	5.3129	3.288047	6.8751103	4.9173391848	5.078905	4.42951	0.875511	4.890178	5.845942	2.366659	6.86971
ENSG00000000938	3.7457206	0	0	0	0	0	2.56258	1.94304	0.619628	0.647368	2.3544840993	0	1.03391	0	11.71425272206	4.39999	0.471073	12.96004	3.18587	6.24814	3.50487	0	0	0	2.77455
ENSG00000000971	190.56173	370.84817	207.65572	160.61638	938.86946	784.78376	395.65525	522.58576	299.85225	264.874373	242.60526	1074.9289	658.88621	647.54102	317.45326	209.806379	129.03359	228.35298	407.41426	353.91011	94.55844	171.9614	136.828355	61.26368	992.4854
ENSG00000001036	101.2201	69.02399	77.50388	60.30408	60.84242	45.08373	42.1453	144.135	97.9537083188034	61.6831	104.36037	68.370601	79.77121	82.68557	116.52585	114.76229	109.00814	91.7755	90.1278	102.39191	89.82352	102.19701	116.45715	80	70.81596
ENSG00000001084	2.096907	4.301396	0	5.389394	30.66871	5.567864	3.654586	1.065584	1.942297	13.99745	4.050455	2.26732	5.272195	6.20339	6.163408	4.934599	2.596613	5.382508	11.782176	4.52107	1.502508	3.5514934	5.649359	18.25067	13.286195
ENSG00000001167	9.08541	14.02683	1.2757	11.07628	6.275127	9.76643	3.69202	13.018	7.80607	12.38032	12.4168	18.51047	6.75942	10.2647	8.19828	5.27101	7.42563	10.91742	4.553983	7.65935	1.54744	9.51639	10.21449	2.55223	1.919788
ENSG00000001460	8.741328	2.336604	1.703392	3.533959	0.528267	8.206791	0.525766	6.88604	7.177279	6.019432	7.102131	0.930719	0.69987	4.684784	2.237468	3.453135	7.835971117149	4.0354095	0.3604456	7.692986	3.754576	3.611764	6.77716	3.662308	0.770555
ENSG00000001461	4.22865226	3.21273	9.73948	6.270439	7.082161	8.326541	1.913981	24.38456	8.022682	8.97164	15.466709	7.779203	10.252041	9.008778	12.92878	6.733243	12.800066	7.43045	5.255564	6.40331	26.132704	16.17122168	13.87866	18.53824	12.006328
ENSG00000001497	17.11753	19.897841	19.6910862115708	6.95488027	6.06779	15.94683	8.00643	18.05872	24.813385223508	6.68001144356	23.599255	10.6667468	11.92523	11.70874	22.6344420130667	16.909421	20.112073	15.6399771	14.102703254	7.97135	36.289591	34.75500523	23.777489	20.70531	34.06121
ENSG00000001561	6.5199	6.31324	3.1136	2.51553	2.9134	2.99417	1.56963	11.9829	2.84755	3.3009	5.82633	3.6024	3.65291	5.17598	15.6316	4.73018	6.79819	12.8727	0.751922	2.149	2.08581	0	0.4006	1.80511	2.45925
ENSG00000001617	0	0	0	0	0	4.60868	0.351117	0.833819	0	0.364536	0	0.109754	2.2572357	0	1.63283	0	0	0.145704	1.018839	0	0	0	0	0	0
ENSG00000001626	56.84969	19.0474013	65.3632	29.36571	22.1027	14.3232	28.9201	22.55651	14.7302	2.44756	18.87651	41.2996395	19.3604	36.981	39.10095	62.55893	5.77297	57.13509	0	76.6003	15.63302	21.8276	0	40.3693	21.7125
ENSG00000001629	18.9484805519	18.527019	13.14851	31.401	12.20147	17.635396	21.244087	31.97737	29.04685	18.39033	14.683354	60.0955	18.21709	24.2336	13.66574	24.42412	19.91357	14.3526046	22.51263	34.087663	5.69714	22.69898	21.84689	9.218348	19.30264
ENSG00000001630	26.601	25.74261	11.34613	14.01981	9.917214	32.62228	13.1324	39.35887	22.68224	15.95443	14.84532	22.93049	40.60174	25.75983	30.1303	17.57922	24.24403	16.55133	20.90321	17.32641	41.28438	28.96173	35.20727	50.93757	15.42402
ENSG00000001631	33.77871839141	32.693078675	25.27334879	44.907126255355	34.35088857	15.271562953199	24.348164	40.0716602	17.7610773449792	16.88082	26.22059	35.9208740034116	24.1100634221563	27.125000766525	28.374776	22.374506241	16.1843935	15.4745475	23.2533704	32.57567	32.206130112343	19.23648	30.21899359	33.24374404034	47.4855700037431
ENSG00000002016	22.62797	16.279	19.212533	7.68284	35.75625	0.833279	3.421691	17.705019	4.707354	3.172098	9.0516176	40.80234	6.007641	4.998357	10.446878	8.85196	3.36203	1.599058	9.07189298112	6.961496	2.770739	11.503512	8.621754	12.43448	18.390190192758
ENSG00000002079	0	0	0.295481	0	0	0	0	0.0644594	0	0	0	0	0	0	0	0	0	0	0	0	0	2.767084	0	0	0
ENSG00000002330	37.2812	38.070757	42.106	28.7934	10.88372	10.19726	16.9417	33.85279	49.4099	30.84287	19.81865	28.60651	37.82884	28.6246	56.70344	64.52224	62.54298	34.427	51.61579	12.22083	32.0209	40.5979	42.55112	67.74612	117.03612
ENSG00000002549	57.38022858	61.95137	25.59708	28.80125	54.895451	89.90967	38.55258	135.45631	183.78312	78.64697	102.01254	80.39735	171.87685385	101.87056	86.95591	146.36071	83.21704	70.52919	217.90803	98.61880149846	56.6485	56.13687	48.5163	47.04523	30.79553
ENSG00000002586	595.05188	856.63022	725.34868	461.257700750876	635.30638	755.43857	633.6597	780.99181	1209.03601	669.03198	690.574	600.07745	905.97706	1016.197941	799.78477	1089.00937	997.99922	655.1358	1382.21899	1134.19117	1215.1766	1441.74266	1381.96421	1073.77415207	1130.571871
ENSG00000002587	0	0.063936	0	0	0.147991	0.0439409	0	0.109073	0	0	0	0.0882586	0	0.526692	0.0601807	0	0.32478	0	0	0	3.79884	0.159841	2.021947	0.992267	0.0445991
ENSG00000002726	0	0.703903	0	0.574334	0	0.747127	0.914947	0	0	0	0.623037	1.26608	0	1.02726	0.905538	0	0	0.995522	0.54393	0.715579	0.734748	0.158854	1.526858	0	0.355621
ENSG00000002746	0.788392	7.837137	5.9232761	0.453751	4.6105755	16.905982	17.293652	0.0455864	0.442858	1.39736	3.75634	7.872653	2.301635	2.079051	0.092511	1.42193	13.389592	21.032665	11.194247	0.791799	20.078058	1.628376	0.268535	0.377545	15.574419
ENSG00000002822	15.19177	10.08457	48.376670423369	31.42141	30.961	14.34155	22.508898725	23.24845	33.473065	35.4223700053755	20.88216	0	16.18592	15.85254	37.373052	46.35112538	77.3635096399	28.12131175234	39.14806	33.971703	38.914986	53.67783	47.661346	41.52822	24.69632
ENSG00000002834	26.727157050496	24.889021	31.81858254	27.969928	21.025277	10.879557	21.2749578438	44.40575	44.15128	50.6816400044333	30.7816877226	23.54251	38.7092495523	37.52346	51.98955	63.348651	44.54652534	29.6914082	41.871242	50.36305	44.34507	43.8152	47.298000508736	35.72463	47.336231
