gene	Endothelial_hemogenic	Endothelial_Nonhemogenic_nodox	Progenitor_hematopoietic_nodox	Endothelial_hemogenic_dox	Endothelial_hemogenic_nodox	Endothelial_hemogenic	Endothelial_Nonhemogenic_nodox	Progenitor_hematopoietic_nodox	Endothelial_hemogenic_dox	Endothelial_hemogenic_nodox
ENSG00000121410	8.44	14.61	8.73	10.3	0.83	10.61	31.76	7.2	6.49	9.15
ENSG00000268895	4.73	9.57	6.24	2.2	3.94	4.3	13.94	3.82	4.3	3.46
ENSG00000148584	0.07	0.04	1.3	0.0	0.05	0.0	0.19	0.05	0.05	0.0
ENSG00000175899	0.31	91.39	97.61	25.42	59.71	0.74	102.63	2.12	12.69	92.55
ENSG00000245105	0.81	1.33	0.81	0.31	3.49	2.16	2.12	0.83	0.51	0.0
ENSG00000166535	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0
ENSG00000256069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000128274	0.0	9.61	1.94	2.56	2.79	1.96	5.82	0.0	2.14	3.52
ENSG00000118017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000265544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000094914	73.98	36.01	63.46	58.17	45.93	62.83	48.49	65.9	68.01	42.32
ENSG00000081760	77.67	112.38	43.79	39.78	35.84	63.03	107.77	59.44	82.97	58.95
ENSG00000250420	0.0	0.78	0.0	1.55	2.19	0.29	0.0	0.0	0.0	0.0
ENSG00000114771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000197953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000188984	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000204518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000109576	5.22	5.21	11.89	4.28	2.07	7.81	6.54	6.6	3.64	6.36
ENSG00000158122	14.07	27.81	25.52	34.02	29.69	30.23	17.27	9.4	21.2	27.32
ENSG00000103591	69.76	58.75	69.46	60.75	93.76	74.87	59.93	51.4	59.91	62.27
ENSG00000115977	6.97	13.39	7.5	5.6	11.18	5.25	12.05	1.79	3.79	7.06
