NAME	B cells	CD8 T cells	CD4 T cells	NK cells	Monocytes	Neutrophils
AATBC	1	1	1	1	47.79048807	1
AATK	1	1	1	17.0791669	31.12209045	288.3229314
ABCB1	9.684374348	25.17031533	5.154390745	64.11554582	1	1
ABCB4	51.31197819	1	1	1	1	1
ABCD2	2.775060988	42.7734197	43.98169984	1	1	1
ABLIM1	269.5496281	424.1247745	556.929164	149.6727956	1	11.4571574
ACSL1	13.49002206	10.71141819	9.265919433	14.54114479	237.1573109	1899.139473
ADAM28	399.8607642	1	1	15.17204481	11.48314169	29.64985987
ADAMTS1	1	1	1	23.45575241	1	1
ADAMTS10	1	84.39436874	50.33928848	268.4773455	1.541059926	1
ADAMTSL4	1	1.274655226	1.449348981	2.092012774	196.3394317	134.354287
ADGRE3	1	1	1	1.709750018	15.37103303	276.1403481
ADGRG1	1	163.4041639	2.538450615	1454.567684	1	15.70714046
ADGRG3	1	1	1	15.99442498	1	483.0932886
ADGRG5	34.16270821	39.42232287	2.480903908	210.651659	1	1
ADM	1	1	1	1	27.19797855	232.5715281
ADTRP	1	4.907998892	66.5064808	1	1	1
AFF3	281.0556532	2.08574091	5.738437856	2.35417401	5.179727225	1
AIF1	1	16.23049372	10.96218784	1	461.5791656	284.030084
AK5	1	10.14207151	31.4351074	11.56502727	1.006152898	2.358397613
AKR1C3	1	1.372447726	1.943692946	43.02804589	1	1.006152898
ALDH1A1	1	1	1	1	99.99978672	1.968101829
ALDH2	4.87149507	1	1	1	282.3107414	34.06212235
ALDH3B1	1.975494322	1	1	3.16552264	183.0625403	62.92450048
ALPL	1.685259847	1	1	1	1	929.8661582
ALS2CL	1	14.95004465	144.2696236	1	9.115183807	1
AMIGO1	1.517691406	35.2494362	51.8220316	11.67407668	1	1
ANK3	4.638022248	7.280312224	26.47362031	2.391799964	1	1
ANKRD55	1	1	21.32872413	1	1	8.357379228
ANO9	113.9959338	220.2422569	302.3774612	26.65426449	3.443204073	1
ANPEP	1.639647311	1	1	2.93631764	624.0706056	975.5836251
ANXA3	1	1	1	1	1	149.5163162
APBA2	1	169.9589812	124.0348697	121.7697799	1	1
APBB1	24.09191689	103.563432	147.7781663	43.58094973	2.963034275	1
APOBEC3A	1	1	1	5.68651993	212.2239453	549.9878678
AQP3	2.282982873	74.87033475	177.4526781	2.472596487	1	1
AQP9	1	1	1	1	119.1857642	1751.264504
ARHGEF10L	1.512993931	1	1	1	105.3424818	1
ARHGEF40	1.536772121	1.518976396	1	1.606595322	187.4110601	274.4641219
ARL4C	197.0287593	1431.056597	1010.477828	2765.195629	209.9605164	5.39963691
ARVCF	2.445355913	3.856432089	3.215920043	92.23882278	3.615074191	1
ASGR1	1	1	1	1	43.44297055	1
ASGR2	1	1	1	1	125.4748522	1
ATF3	2.563579974	5.040763074	1.141408363	7.906415356	173.2509701	3.887327584
ATP8B2	78.93305459	410.6272716	564.9128115	116.8362101	2.811200983	7.772485046
AUTS2	26.53923232	53.26283723	32.34130582	188.4351404	1	1
AXIN2	14.08005745	18.91077619	53.55407587	1.758839484	1	1
B3GAT1	1	18.99248996	1	122.897472	1	1
B3GNT7	9.271689553	3.039936602	1	346.040689	1	1
BACE2	32.60069335	1	1	1	1	1
BACH2	380.3448851	90.11333246	98.42592547	19.48656673	1	1
BANK1	723.2770015	1	1	1	3.96746058	1
BASP1	42.66783644	1	1	1.771348646	55.51738381	1061.469398
BCL11A	197.388472	1	1	1	13.93888257	9.585979488
BCL11B	1	370.6040005	543.5297371	91.09758972	1	1
BCL7A	220.5718763	3.945558861	4.594519378	1	1	1
BEND4	28.00094141	1	1	1	1	1
BICDL1	14.23396519	133.5777034	120.1840034	29.65318586	1.006152898	2.37538323
BLK	701.8192848	5.882550682	2.88654165	1	1	1
BLNK	172.2994948	1	1	1	2.381438326	1.603712943
BNC2	1	1	1	32.43747652	1	1.006152898
BOK	1	1	1	20.87334132	1	1
BST1	1	1	1	1	179.2403564	171.2494389
BTK	299.3710593	1	1	7.326709433	161.205411	76.12206391
BTLA	126.3685816	4.530696337	8.944591793	1	1	6.29796592
BTNL8	1	1	1	1	1	89.21469909
C19orf38	2.46296782	1	1	1	199.7311494	115.9380538
C1orf21	1.144499956	23.28342187	1.194892997	130.6619777	1.596818169	3.661355994
C5AR1	1.31005265	1	1	3.852873602	629.8851754	1272.830957
C5AR2	1	1	1	1.584277852	12.80084582	117.9165252
C9orf172	1.758839484	8.277762232	2.111315354	39.53516777	1	1
CA4	1	1	1	1	1	70.6471464
CACNA1I	1.116928084	44.30376893	164.5910844	1.137479629	1.541036028	3.610335255
CAMK4	3.751428898	193.4155634	279.5482801	1.345214281	1	1
CARD11	336.4903611	297.5182885	264.0939159	465.3499662	1	1
CARD9	1.905559867	1.603712943	1	3.314539275	126.3592804	14.42795147
CARMIL2	224.743341	195.5554334	285.796862	56.95369362	1	1
CARMIL3	6.489612303	3.595279998	1	54.00930952	2.501979096	1
CBLN3	41.21756557	1	2.080692809	1	1.658210577	1
CCDC50	281.0483076	4.0994057	12.26271889	28.25721877	46.25663413	1
CCNJL	1	1	1	29.53270094	1	155.10058
CCR1	1	1.608200391	1	3.008124306	362.88923	213.6745382
CCR4	1	10.23912023	67.78131666	1	1	1
CCR7	197.8520492	283.7696577	422.6194718	2.73950925	1	1
CD14	1.851163386	1	1	1	1148.299861	296.2509054
CD160	1	12.87535213	1.745114808	87.49317263	1	1
CD163	1	1	1	1	363.4599513	6.709230543
CD19	473.0158157	1	1	1	1	1
CD1C	50.63742239	1	1	1	13.94339053	1
CD2	1	185.3310633	258.8290007	82.5357711	1.698686007	1
CD200	52.79029179	1	1.685259847	1	1	1
CD22	1454.137108	1	1	1	1	5.35526341
CD226	1	53.84023568	62.34527407	156.8320888	1	1
CD244	3.884083756	31.9666667	6.464366476	200.6601756	69.84479057	1
CD247	2.254932694	269.8222386	338.6246254	1295.417822	1	1
CD248	1	13.93390701	1	1	1	1
CD27	14.16564659	42.69480795	75.35247781	1	1	1
CD28	1	124.9459748	259.1394817	1	1	1
CD300C	1	1	1	2.985751319	86.27412654	7.103922379
CD300E	1.574737674	1	1	1	909.1423046	4.712783523
CD300LF	1	1	1	1	161.5419815	123.1856248
CD33	1	1	1	1	153.7430211	26.73073422
CD36	1	1	1	1	770.8065086	5.037073332
CD3D	1	218.7817292	215.4670478	2.556397062	1	1
CD3E	1	829.2240772	864.8968529	60.39050748	1	1
CD3G	1	127.2325171	134.8219294	6.903106633	1	1
CD4	1	3.319696544	548.2211129	1	697.4347901	43.92098147
CD40	244.4846017	1.831824091	1.878514018	3.865419206	16.16736721	1
CD40LG	1	3.400901794	51.72649177	1	1	1
CD5	5.040132441	253.2072175	448.1224786	1	1	1
CD6	12.3329688	519.6672527	690.8383051	98.0137399	1	1
CD68	12.22066102	2.265599601	1	2.21375606	1241.754942	65.07983384
CD7	1	329.5520753	229.2497085	858.6800856	13.16840373	17.49763216
CD72	214.6972291	4.591340497	1.858305384	19.25897	2.691007278	1
CD79A	1520.308683	7.530414772	1.87518604	1.432486651	1	1
CD79B	627.1901047	4.627401071	10.52624109	10.67724283	9.992093094	1
CD83	998.6079651	34.49318168	12.81957624	29.34724685	469.6844367	12.61524108
CD86	19.41697164	1	1	1	161.2224712	1
CD8A	1	1033.557094	2.463966714	3.42594854	1	1
CD8B	1	426.5298805	1.732657038	1	1	1
CD93	1	1	1.835128271	12.35766552	555.048167	335.9573869
CD96	39.13562836	267.68554	230.5386195	200.9803723	1	1
CDA	1	1	1	1	75.1929478	188.823761
CDCA7L	141.0610105	7.805793106	15.62526926	1.468785308	2.444465438	7.721072255
CEACAM3	1	1	1	1	4.518759012	202.859056
CEACAM4	1	1	1.560116742	1	25.56879014	126.8374381
CELSR1	93.75994059	2.531877692	2.164710955	3.696627344	1	1
CEP19	1	1.057255786	1.499524425	1	2.46296782	88.85887106
CEP78	22.90869574	61.95852245	29.23493935	386.0514721	4.938745869	5.00716539
CERCAM	1	1.812210491	1	26.65335529	2.289972103	1
CES1	1	1	1	1	95.00146867	1
CFD	1.038192686	1.187474205	1	7.262936005	193.1688876	59.41446187
CFP	1.606595322	4.839863361	18.11498744	1	586.9381471	263.9281433
CHI3L1	1	1	1	1	1	283.6305173
CHRM3-AS2	1	81.81795408	234.0876746	7.299697508	1	1
CHST15	42.59183258	1	1	1	214.2207431	433.4326928
CHST2	35.62567458	5.949162859	4.556666471	302.122378	38.98865478	42.77566039
CIITA	1503.534044	12.25538782	4.066555327	7.650510405	240.0455263	26.09112206
CLDND2	1	4.395401227	1	23.7417897	1	1
CLEC12A	1	1	1	3.835761993	211.0875541	50.54720398
CLEC17A	131.4735186	1	1	1	1	22.53122836
CLEC4E	1	1	1	1	88.46644522	215.0719872
CLEC7A	1.090061835	1	1	1	543.5774054	638.9305996
CLIC3	1	6.501205654	1	148.2065592	1	1
CLIC4	152.9635724	1	1	1.254148403	58.81088783	21.97871236
CMKLR1	1	9.849497471	1	92.96628427	15.08322188	1
CMTM2	1	1	1	1	3.386850791	208.7998071
CNR2	152.9129661	5.904612487	1	9.992093094	1	4.462430463
CNTNAP2	85.61417819	1	1	1	1	1
CNTNAP3	1	1	1	1	1	99.64788058
COBLL1	148.9219548	1	1	1	1	1
COL19A1	102.7212818	1	1	1	1	1.858293421
COL4A3	51.22181392	1	1	1	1	1.818713586
COL4A4	40.43625081	1	1	2.470828894	1	1.818713586
COL6A2	1.006152898	217.7363341	63.09253517	136.1549965	1.006152898	2.488512873
COLGALT2	1	2.442820733	1	28.37371504	1	1
COLQ	2.374156755	15.68759538	6.987337429	58.11298331	1.968101829	1
CORO2B	28.12770385	1	1	1	1	1
CPNE5	255.6708467	1	1	1	1	4.619892252
CPVL	1	1	1	1	572.3897091	1
CR2	94.15553262	2.501399375	3.004832218	1	1	1
CREB5	1	1	1	1	142.1497581	427.2195553
CRIP2	19.30114375	16.21647839	54.29542124	1.789246027	2.506530329	1
CRISPLD2	1	1	1.345214281	1	101.9528832	203.0300546
